                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 9 ATS 5 ATS 16 ATS 7 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 9 ATS 5 ATS 16 ATP 7 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 9 ATS 5 ATP 16 ATP 7 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 9 ATS 5 ATP 16 ATP 7 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
WFB  ATH 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
WFB  ATH 1000.0  ATH 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  PAB 1000.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
WFB  ATH 1000.0  ATH 1000.0  PAB 1000.0  PAB 1000.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
WFB  ATH 1000.0  ATH 1000.0  PAB 1000.0  WAR 942.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
WFB  ATH 1000.0  PAB 1000.0  PAB 935.0  WAR 942.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
WFB  ATH 1000.0  PAB 1000.0  WAR 935.0  WAR 942.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
WFB  ATH 1000.0  WAR 911.0  WAR 935.0  WAR 942.0  0 ATP 9 ATP 5 ATP 16 ATP 7 
WFB  ATH 1000.0  WAR 911.0  WAR 935.0  WAR 942.0  0 ATSL 9 ATP 5 ATP 16 ATP 7 
WFB  ATH 1000.0  WAR 911.0  WAR 935.0  WAR 942.0  0 ATSL 9 ATP 5 ATSL 16 ATP 7 
WFB  ATH 1000.0  WAR 911.0  WAR 935.0  WAR 942.0  0 ATSL 9 ATP 5 ATSL 16 ATSL 7 
WFB  PAB 1000.0  WAR 911.0  WAR 935.0  WAR 942.0  0 ATSL 9 ATP 5 ATSL 16 ATSL 7 
WFB  PAB 1000.0  WAR 911.0  WAR 935.0  WAR 942.0  0 ATSL 9 ATSL 5 ATSL 16 ATSL 7 
WFB  WAR 993.0  WAR 911.0  WAR 935.0  WAR 942.0  0 ATSL 9 ATSL 5 ATSL 16 ATSL 7 
STR  WAR 993.0  WAR 911.0  WAR 935.0  WAR 942.0  0 ATSL 9 ATSL 5 ATSL 16 ATSL 7 
STR  WAR 993.0  WAR 911.0  WAR 935.0  WAR 942.0  0 ATSL 9 ATSL 5 ATSL 16 R 7 
STR  WAR 993.0  WAR 911.0  WAR 935.0  WAR 942.0  0 ATSL 9 ATSL 5 R 16 R 7 
STR  WAR 993.0  WAR 911.0  WAR 935.0  WAR 942.0  0 R 9 ATSL 5 R 16 R 7 
STR  WAR 993.0  WAR 911.0  WAR 935.0  WAR 942.0  0 R 9 R 5 R 16 R 7 
STR  WAR 993.0  WAR 911.0  WAR 935.0  WAR 942.0  0 R 9 R 5 ATFL 16 R 7 
STR  WAR 993.0  WAR 911.0  WAR 935.0  WAR 942.0  0 R 9 R 5 ATFL 16 ATFL 7 
STR  WAR 993.0  WAR 911.0  WAR 935.0  WAR 942.0  0 ATFL 9 R 5 ATFL 16 ATFL 7 
STR  WAR 993.0  WAR 911.0  WAR 935.0  WAR 942.0  0 ATFL 9 ATFL 5 ATFL 16 ATFL 7 
