                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
   MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
  OTE   WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  ANR   WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  WFB   WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  WFB   WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATP 32 ATS 22 ATS 28 ATS 49 
  WFB   WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATP 32 ATS 22 ATS 28 ATP 49 
  WFB   WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATP 32 ATP 22 ATS 28 ATP 49 
  WFB   WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WRS  100.0 WRS  100.0 ATH  100.0 WRS  100.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  100.0 WRS  100.0 ATH  100.0 WRS  100.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  100.0 ATH  100.0 ATH  100.0 WRS  100.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  100.0 ATH  100.0 PAB  100.0 WRS  100.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  100.0 PAB  100.0 PAB  100.0 WRS  100.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  100.0 PAB  100.0 WAR  1.0 WRS  100.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  100.0 WAR  1.0 WAR  1.0 WRS  100.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   PAB  100.0 WAR  1.0 WAR  1.0 WRS  100.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   PAB  100.0 WAR  1.0 WAR  1.0 ATH  100.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WAR  1.0 WAR  1.0 WAR  1.0 ATH  100.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WAR  1.0 WAR  1.0 WAR  1.0 PAB  100.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WAR  1.0 WAR  1.0 WAR  1.0 PAB  100.0 0 ATP 32 ATP 22 ATP 28 ASL 49 
  WFB   WAR  1.0 WAR  1.0 WAR  1.0 PAB  100.0 0 ASL 32 ATP 22 ATP 28 ASL 49 
  WFB   WAR  1.0 WAR  1.0 WAR  1.0 PAB  100.0 0 ASL 32 ATP 22 ASL 28 ASL 49 
  WFB   WAR  1.0 WAR  1.0 WAR  1.0 PAB  100.0 0 ASL 32 ASL 22 ASL 28 ASL 49 
  WFB   WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ASL 32 ASL 22 ASL 28 ASL 49 
  STR   WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ASL 32 ASL 22 ASL 28 ASL 49 
  STR   WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 RUN 32 ASL 22 ASL 28 ASL 49 
  STR   WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 RUN 32 ASL 22 RUN 28 ASL 49 
  STR   WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 RUN 32 RUN 22 RUN 28 ASL 49 
  STR   WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 RUN 32 RUN 22 AFL 28 ASL 49 
  STR   WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 RUN 32 RUN 22 AFL 28 RUN 49 
  STR   WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 AFL 32 RUN 22 AFL 28 RUN 49 
